6.000000,-1.#IND00,-1.#IND00 
6.010000,-1.#IND00,-1.#IND00 
6.020000,-1.#IND00,-1.#IND00 
6.030000,-1.#IND00,-1.#IND00 
6.040000,-1.#IND00,-1.#IND00 
6.050000,-1.#IND00,-1.#IND00 
6.060000,-1.#IND00,-1.#IND00 
6.070000,-1.#IND00,-1.#IND00 
6.080000,-1.#IND00,-1.#IND00 
6.090000,-1.#IND00,-1.#IND00 
6.100000,-1.#IND00,-1.#IND00 
6.110000,-1.#IND00,-1.#IND00 
6.120000,-1.#IND00,-1.#IND00 
6.130000,-1.#IND00,-1.#IND00 
6.140000,-1.#IND00,-1.#IND00 
6.150000,-1.#IND00,-1.#IND00 
6.160000,-1.#IND00,-1.#IND00 
6.170000,-1.#IND00,-1.#IND00 
6.180000,-1.#IND00,-1.#IND00 
6.190000,-1.#IND00,-1.#IND00 
6.200000,-1.#IND00,-1.#IND00 
6.210000,-1.#IND00,-1.#IND00 
6.220000,-1.#IND00,-1.#IND00 
6.230000,-1.#IND00,-1.#IND00 
6.240000,-1.#IND00,-1.#IND00 
6.250000,-1.#IND00,-1.#IND00 
6.260000,-1.#IND00,-1.#IND00 
6.270000,-1.#IND00,-1.#IND00 
6.280000,-1.#IND00,-1.#IND00 
6.290000,-1.#IND00,-1.#IND00 
6.300000,-1.#IND00,-1.#IND00 
6.310000,-1.#IND00,-1.#IND00 
6.320000,-1.#IND00,-1.#IND00 
6.330000,-1.#IND00,-1.#IND00 
6.340000,-1.#IND00,-1.#IND00 
6.350000,-1.#IND00,-1.#IND00 
6.360000,-1.#IND00,-1.#IND00 
6.370000,-1.#IND00,-1.#IND00 
6.380000,-1.#IND00,-1.#IND00 
6.390000,-1.#IND00,-1.#IND00 
6.400000,-1.#IND00,-1.#IND00 
6.410000,-1.#IND00,-1.#IND00 
6.420000,-1.#IND00,-1.#IND00 
6.430000,-1.#IND00,-1.#IND00 
6.440000,-1.#IND00,-1.#IND00 
6.450000,-1.#IND00,-1.#IND00 
6.460000,-1.#IND00,-1.#IND00 
6.470000,-1.#IND00,-1.#IND00 
6.480000,-1.#IND00,-1.#IND00 
